성생활
성적 지향
성적지향
동성애
이성애
양성애
트랜스젠더
성소수자
성병
성교육 이력
성폭력 피해 기록
임신
유산
낙태 기록
피임
sexual life
sexual activity
sex life
sexual orientation
homosexual
heterosexual
bisexual
transgender
LGBT
STI
HIV
pregnancy
miscarriage
abortion record
contraception
