건강 상태
의료 기록
의무기록
진료기록
진단
진단서
병력
기저질환
질병
처방
투약
복약
입원
퇴원
건강검진
혈액형
임신
당뇨
고혈압
암
우울증
장애등록
disability registration
medical history
diagnosis
prescription
medication
hospitalization
discharge
clinical record
health screening
pregnancy
diabetes
hypertension
cancer
depression
